asset_id,display_name,codes_and_names,inn,sponsor,sponsor_hq_city,sponsor_confidence,verification_tier,target,mechanism,modality,ot_mechanism_of_action,ot_drug_type,chembl_ids,indications_researched,conditions_in_trials,highest_phase,highest_phase_researched,highest_phase_in_ctgov,development_status,ex_china_rights,partner,latest_data,first_in_class_note,n_trials_ctgov,n_trials_recruiting_or_active,trial_statuses,earliest_nct,latest_nct,nct_ids,sources,notes
dalpiciclib isetionate,dalpiciclib,Aitan|SHR-6390|SHR6390|dalpiciclib|dalpiciclib isethionate|dalpiciclib isetionate,dalpiciclib,Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,web_verified,CDK4/CDK6,CDK4/6 inhibitor,small molecule,,Small molecule,CHEMBL4802161,HR+/HER2- advanced breast cancer (with fulvestrant; with AI)|early breast cancer|HER2+ breast cancer (IIT with pyrotinib)|metastatic hormone-sensitive prostate cancer (with abiraterone),breast cancer | non-small cell lung cancer | esophageal squamous cell carcinoma | head and neck squamous cell carcinoma | hepatocellular carcinoma | colorectal cancer | ovarian cancer | melanoma,approved (China),approved (China),phase 4,active,retained,,"Approved in China Dec 2021 (DAWNA-1: + fulvestrant, mPFS 15.7 vs 7.2 mo) and 2023 for 1L with AI (DAWNA-2: mPFS 30.6 vs 18.2 mo, Lancet Oncol 2023). Ongoing Phase 1b/3 in high-volume mHSPC with abiraterone (NCT06099990) and combos with SHR-A1811 and HRS-1358.",First domestically developed CDK4/6 inhibitor approved in China (brand Airuikang),105,54,"{""UNKNOWN"": 38, ""COMPLETED"": 11, ""ACTIVE_NOT_RECRUITING"": 6, ""TERMINATED"": 2, ""RECRUITING"": 30, ""NOT_YET_RECRUITING"": 17, ""ENROLLING_BY_INVITATION"": 1}",NCT02671513,NCT07581834,NCT02671513|NCT02684266|NCT03480256|NCT03481998|NCT03601598|NCT03772353|NCT03927456|NCT03966898|NCT03993964|NCT04095390|NCT04236310|NCT04293276|NCT04301804|NCT04355858|NCT04423601|NCT04439578|NCT04486911|NCT04616742|NCT04631575|NCT04667156|NCT04733417|NCT04836520|NCT04842617|NCT04866381|NCT04973020|NCT04989829|NCT04993430|NCT04997798|NCT05103826|NCT05132790|NCT05176080|NCT05185869|NCT05189717|NCT05205200|NCT05228951|NCT05328440|NCT05354336|NCT05431504|NCT05463601|NCT05469750|NCT05480280|NCT05512416|NCT05512780|NCT05515289|NCT05574881|NCT05577442|NCT05577923|NCT05578053|NCT05582499|NCT05586841|NCT05594095|NCT05628870|NCT05638594|NCT05640778|NCT05721443|NCT05724355|NCT05759546|NCT05759572|NCT05792410|NCT05800756|NCT05806671|NCT05861830|NCT05949541|NCT05952128|NCT05979220|NCT06099990|NCT06107673|NCT06109207|NCT06133088|NCT06149130|NCT06167694|NCT06199271|NCT06208410|NCT06225921|NCT06243185|NCT06301438|NCT06341894|NCT06363734|NCT06495515|NCT06552858|NCT06556862|NCT06599216|NCT06605690|NCT06612814|NCT06613373|NCT06650748|NCT06684600|NCT06711094|NCT06810492|NCT06970912|NCT07014410|NCT07037199|NCT07101159|NCT07179939|NCT07189884|NCT07207070|NCT07238881|NCT07285382|NCT07354022|NCT07366112|NCT07432178|NCT07467330|NCT07492394|NCT07539753|NCT07581834,https://clinicaltrials.gov/study/NCT06099990|https://clinicaltrials.gov/study/NCT05628870|https://www.hengrui.com,"Also known by dev code SHR6390 (see separate row, same molecule). Approved China Dec 2021 for breast cancer. || ChEMBL4802161, maximum stage APPROVAL. Offline verification only. || Development code for dalpiciclib (see separate row); same molecule, duplicate entry in dataset. || The sample trial title provided (NCT06208410) is actually about 'JS105' (a Junshi Biosciences compound) combined with other anti-tumor therapies, not clearly dalpiciclib itself -- this looks like a possible data-linkage mismatch between asset_key and sample_titles in the input CSV; dalpiciclib may be one of the combination partners but that is unconfirmed. Answering primarily about dalpiciclib/SHR6390 itself, which is unambiguously Hengrui's approved CDK4/6 inhibitor."
SHRH1459,edralbrutinib,SHR-1459|SHR1459|SHRH1459|TG-1701|TG1701,edralbrutinib,Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,web_verified,BTK,covalent BTK inhibitor,small molecule,Tyrosine-protein kinase BTK inhibitor [Tyrosine-protein kinase BTK],Small molecule,CHEMBL4650338,B-cell non-Hodgkin lymphoma|mature B-cell neoplasms|neuromyelitis optica spectrum disorder|membranous nephropathy,mature B cell neoplasms | neuromyelitis optical spectrum disorders | non-Hodgkin lymphoma | primary membranous nephropathy,phase 2,phase 2,phase 2,unclear,unknown,TG Therapeutics (former ex-China licensee as TG-1701),"No recent efficacy data found; Phase 1 studies in R/R mature B-cell neoplasms (NCT03664297) and healthy volunteers completed, and a randomized Phase 2 in NMOSD was registered. Synapse lists global highest status as Phase 2.",,11,0,"{""UNKNOWN"": 5, ""COMPLETED"": 6}",NCT03664297,NCT05560360,NCT03664297|NCT03668509|NCT04291846|NCT04395053|NCT04455100|NCT04649723|NCT04670770|NCT04948788|NCT05095337|NCT05136456|NCT05560360,https://synapse.patsnap.com/drug/7fe16930ffa5456cad7be64d451055c5|https://clinicaltrials.gov/study/NCT03664297|https://veri.larvol.com/news/tg-1701/drug,Ex-China rights were licensed to TG Therapeutics (TG-1701) in 2018; TG deprioritized the program around 2022 and current rights status is unclear. Several trials show 'unknown' status on CT.gov. || Trial title refers to 'SHR1459 Tablets' (asset_key given as SHRH1459); SHR prefix confirms Hengrui sponsorship. Specific mechanism for the kidney-disease indication not confidently recalled.
famitinib maleate,famitinib,"SHR-1020|SHR1020|SHR1020 (tentative, low confidence)|famitinib|famitinib malate|famitinib maleate",famitinib,Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,prior_knowledge,"VEGFR2, PDGFR, c-Kit",Multi-target receptor tyrosine kinase inhibitor,small molecule,Platelet-derived growth factor receptor inhibitor [Platelet-derived growth factor receptor] | Stem cell growth factor receptor inhibitor [Mast/stem cell growth factor receptor Kit] | Tyrosine-protein kinase receptor FLT3 inhibitor [Receptor-type tyrosine-protein kinase FLT3] | Vascular endothelial growth factor receptor 1 inhibitor [Vascular endothelial growth factor receptor 1] | Vascular endothelial growth factor receptor 2 inhibitor [Vascular endothelial growth factor receptor 2] | Vascular endothelial growth factor receptor 3 inhibitor [Vascular endothelial growth factor receptor 3],Small molecule,CHEMBL1278146,non-small cell lung cancer | melanoma,breast cancer | non-small cell lung cancer | cervical cancer | nasopharyngeal carcinoma | solid tumor | ovarian cancer | triple negative breast cancer | small cell lung cancer,phase 3,phase 3,phase 3,active,unknown,,,,69,21,"{""COMPLETED"": 16, ""TERMINATED"": 8, ""UNKNOWN"": 19, ""SUSPENDED"": 1, ""WITHDRAWN"": 4, ""RECRUITING"": 10, ""ACTIVE_NOT_RECRUITING"": 1, ""NOT_YET_RECRUITING"": 10}",NCT01392235,NCT07517653,NCT01392235|NCT01462474|NCT01653574|NCT01762280|NCT01762293|NCT01829841|NCT01994213|NCT02336724|NCT02356991|NCT02364362|NCT02390947|NCT02766140|NCT03827837|NCT03904823|NCT04044378|NCT04129996|NCT04346381|NCT04355858|NCT04395989|NCT04400123|NCT04409223|NCT04479904|NCT04494659|NCT04619433|NCT04679038|NCT04680988|NCT04699968|NCT04733417|NCT04814485|NCT04866381|NCT04884009|NCT04888429|NCT04906993|NCT05005468|NCT05020925|NCT05041920|NCT05042375|NCT05046808|NCT05051865|NCT05103826|NCT05106335|NCT05147727|NCT05176080|NCT05208177|NCT05214976|NCT05336279|NCT05473468|NCT05582499|NCT05594095|NCT05670925|NCT05760378|NCT05862064|NCT05999149|NCT06146985|NCT06306560|NCT06332300|NCT06332950|NCT06516289|NCT06649331|NCT06913777|NCT07143292|NCT07147088|NCT07266350|NCT07309185|NCT07355010|NCT07382687|NCT07382713|NCT07466901|NCT07517653,,"Famitinib (Hengrui) has also been studied in combination with Hengrui's own PD-1 antibody camrelizumab in various solid tumors. || Famitinib has been studied extensively by Hengrui in combination with camrelizumab (SHR-1210) across multiple tumor types. || Hengrui multi-kinase inhibitor, structurally related to sunitinib class; long-running program (oldest NCT from 2012). || Still in late-stage development (not yet approved to my knowledge), often studied combined with camrelizumab. || Well-established Hengrui multi-target TKI; high confidence."
fluzoparil,fluzoparib (fuzuloparib),SHR-3162|SHR3162|fluzoparil,fluzoparib (fuzuloparib),Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,web_verified,PARP1/2,PARP inhibitor,small molecule,,Small molecule,CHEMBL3930624,"ovarian cancer (gBRCAm, platinum-sensitive relapsed; maintenance)|prostate cancer|breast cancer|pancreatic cancer|other solid tumors",prostate cancer | solid tumor | solid tumors | breast cancer | glioblastoma,approved (China),approved (China),phase 2,active,retained,,FZOCUS-2 phase 3 maintenance in platinum-sensitive relapsed ovarian cancer: median PFS 12.9 vs 5.5 mo (HR 0.25; JCO 2022); NMPA approvals Dec 2020 (gBRCAm PSR OC ≥2 lines) and 2021-2022 (maintenance settings). Brand Airuiyi.,,7,0,"{""COMPLETED"": 2, ""TERMINATED"": 2, ""UNKNOWN"": 3}",NCT02747342,NCT04552977,NCT02747342|NCT02759666|NCT03182673|NCT04102124|NCT04108247|NCT04355858|NCT04552977,https://clinicaltrials.gov/study/NCT02759666|https://platform.opentargets.org/drug/CHEMBL3930624|https://www.hengrui.com/,"Fluzoparib (SHR3162) is Hengrui's approved PARP inhibitor for ovarian cancer in China; this trial explores glioblastoma combination with temozolomide. || Trials in this batch are Hengrui phase 1/2 combinations with SHR3680 (rezvilutamide) in mCRPC (some terminated for R&D strategy). OpenTargets lists 'HS-10160' as a synonym, which is likely an erroneous merge with Hansoh's PARP inhibitor. [Compiled offline from local OpenTargets/ClinicalTrials.gov extract + prior knowledge; web search budget exhausted in this session, so dates/figures not re-verified online.]"
HR20033,henagliflozin, HRS-7535| Henagliflozin |HR20033|HRS-1780|HRS-1780 |HRS-7535|HRS7535|KAI-7535|SHR3824|henagliflozin,henagliflozin,Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,web_verified,GLP-1R,oral non-peptide small-molecule GLP-1 receptor agonist,small molecule,Sodium/glucose cotransporter 2 inhibitor [Sodium/glucose cotransporter 2],Small molecule,CHEMBL4297431,type 2 diabetes|obesity/overweight|diabetic kidney disease|heart failure,type 2 diabetes mellitus | type 2 diabetes | obesity | heart failure | chronic kidney disease | diabetic kidney disease | prediabetes | hepatic impairment,phase 3,phase 3,phase 4,active,licensed-out,"Kailera Therapeutics (ex-Greater China rights via the Hercules CM NewCo deal, May 2024, together with HRS9531 and HRS-4729)","Phase 2 studies in T2DM (16-week, on metformin) and obesity reported 2024-2025 with dose-dependent HbA1c and body-weight reductions; Phase 3 trials in T2DM and in obesity/overweight initiated in China in 2025.",,58,15,"{""COMPLETED"": 23, ""UNKNOWN"": 20, ""NOT_YET_RECRUITING"": 9, ""RECRUITING"": 4, ""ACTIVE_NOT_RECRUITING"": 2}",NCT02346175,NCT07557407,NCT02346175|NCT02353975|NCT02354027|NCT02356224|NCT02361138|NCT02366351|NCT02366377|NCT02500485|NCT03159052|NCT03159832|NCT03160014|NCT03329118|NCT04390295|NCT05108350|NCT05120219|NCT05252624|NCT05347758|NCT05638126|NCT05677334|NCT05682495|NCT05692934|NCT05742230|NCT05759897|NCT06031389|NCT06039254|NCT06059287|NCT06085703|NCT06132204|NCT06187727|NCT06216340|NCT06218342|NCT06221059|NCT06250946|NCT06344936|NCT06393348|NCT06415214|NCT06422039|NCT06448130|NCT06495931|NCT06589765|NCT06621316|NCT06671821|NCT06672172|NCT06727838|NCT06762223|NCT06819488|NCT06820099|NCT06904105|NCT06961643|NCT07027774|NCT07269756|NCT07294495|NCT07323381|NCT07419828|NCT07441187|NCT07470983|NCT07528027|NCT07557407,https://clinicaltrials.gov/study/NCT05347758|https://www.hengrui.com/|https://www.kailera.com/,"HR20033 appears to be an internal Hengrui combination-product/study code rather than a single molecule; title lists HRS-1780, Henagliflozin, and HRS-7535 together in a PK study. || OFFLINE RUN: session web-search budget was exhausted and WebFetch/curl egress is blocked, so this profile comes from model knowledge (through mid-2026) plus the ClinicalTrials.gov fields in the batch; not live-verified. || Target/mechanism inferred from indication pattern (hypertension/aldosteronism class), medium confidence only."
herombopag,herombopag (rafutrombopag),SHR8735|SHR8735 olamine|herombopag|hetrombopag|hetrombopag olamine,herombopag (rafutrombopag),Jiangsu Hengrui Pharmaceuticals,"Lianyungang, Jiangsu",high,prior_knowledge,TPO receptor (MPL),thrombopoietin receptor agonist,small molecule,Thrombopoietin receptor agonist [Thrombopoietin receptor],Small molecule|Unknown,CHEMBL4297764|CHEMBL4594401,immune thrombocytopenia|aplastic anemia|chemotherapy-induced thrombocytopenia,thrombocytopenia | aplastic anemia | immune thrombocytopenia | idiopathic thrombocytopenic purpura | myelodysplastic syndrome | myelodysplastic syndromes | hematological disease | acute myeloid leukemia,approved (China),approved (China),phase 4,active,unknown,,Approved in China (brand Xueke) around 2021 for chronic ITP.,,65,26,"{""COMPLETED"": 17, ""UNKNOWN"": 21, ""ACTIVE_NOT_RECRUITING"": 3, ""RECRUITING"": 11, ""WITHDRAWN"": 1, ""NOT_YET_RECRUITING"": 10, ""ENROLLING_BY_INVITATION"": 2}",NCT01830660,NCT07558434,NCT01830660|NCT02403440|NCT02409394|NCT02614846|NCT03222843|NCT03557099|NCT03603132|NCT03825744|NCT03976882|NCT03977805|NCT04688008|NCT04701216|NCT04737850|NCT04961710|NCT05018936|NCT05024877|NCT05088174|NCT05088343|NCT05088642|NCT05088655|NCT05130424|NCT05236582|NCT05261646|NCT05311930|NCT05328804|NCT05333861|NCT05350956|NCT05392647|NCT05394285|NCT05442632|NCT05575986|NCT05660785|NCT05685420|NCT05718856|NCT05727917|NCT05864014|NCT05943691|NCT05944211|NCT05969158|NCT05975996|NCT06004791|NCT06009965|NCT06036966|NCT06099925|NCT06433830|NCT06478537|NCT06507436|NCT06562738|NCT06695741|NCT06745219|NCT06769685|NCT06818916|NCT06838949|NCT07003269|NCT07010237|NCT07101627|NCT07198672|NCT07243418|NCT07252375|NCT07286032|NCT07334093|NCT07408648|NCT07492693|NCT07523009|NCT07558434,,"Approved China 2021 for chronic ITP and aplastic-anemia-associated thrombocytopenia. || High confidence on sponsor and mechanism; approval year/brand name recalled at medium confidence. || INN listed in input as RAFUTROMBOPAG, which I recall as a possible alternate/related INN spelling for herombopag; noting potential name nuance. || Rafutrombopag (SHR8735) is Hengrui's oral TPO receptor agonist, approved in China for chemotherapy-induced thrombocytopenia."
HR070803,irinotecan liposome (presumed),HR070803,irinotecan liposome (presumed),Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,prior_knowledge,Topoisomerase I (presumed),"presumed liposomal irinotecan, topoisomerase I inhibitor",generic/reformulation,,,,pancreatic cancer|esophageal cancer|colorectal cancer,pancreatic cancer | esophageal cancer | colorectal cancer,phase 3,phase 3,phase 3,active,unknown,,,,5,4,"{""UNKNOWN"": 1, ""RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1, ""NOT_YET_RECRUITING"": 2}",NCT05425472,NCT06383078,NCT05425472|NCT05751850|NCT05945901|NCT06217042|NCT06383078,,"The pancreatic-cancer regimen (combined with oxaliplatin/5-FU/leucovorin) closely mirrors the NAPOLI-1 liposomal-irinotecan regimen, and Hengrui markets a liposomal irinotecan product in China; this identification is medium-confidence, not certain."
SHRS0302,ivarmacitinib, HRS-0302|HRS-0302|SHR-0302|SHR-0302 |SHR0302|SHRS0302|ivarmacitinib|ivarmacitinib sulfate|shr0302base,ivarmacitinib,Jiangsu Hengrui Pharmaceuticals,"Lianyungang, Jiangsu",high,prior_knowledge,JAK1,selective JAK1 inhibitor,small molecule,,Small molecule,CHEMBL5095398|CHEMBL5095399,atopic dermatitis|rheumatoid arthritis|ulcerative colitis|ankylosing spondylitis|acute graft-versus-host disease,atopic dermatitis | rheumatoid arthritis | vitiligo | ulcerative colitis | alopecia areata | acute graft-versus-host disease | Crohn's disease | graft-versus-host disease,approved (China),approved (China),phase 4,active,unknown,,Recall (medium confidence) of China approval for atopic dermatitis around 2024; not independently re-verified this pass.,,43,17,"{""UNKNOWN"": 8, ""COMPLETED"": 17, ""TERMINATED"": 1, ""NOT_YET_RECRUITING"": 12, ""RECRUITING"": 4, ""ACTIVE_NOT_RECRUITING"": 1}",NCT02423538,NCT07570745,NCT02423538|NCT02665910|NCT02892370|NCT03254966|NCT03675477|NCT03677648|NCT04146207|NCT04162899|NCT04293029|NCT04333771|NCT04346316|NCT04481139|NCT04712838|NCT04717310|NCT04774809|NCT04875169|NCT04957550|NCT05047341|NCT05181137|NCT05324631|NCT05392127|NCT05404724|NCT05470413|NCT05856058|NCT05900089|NCT06202612|NCT06519526|NCT06731153|NCT06790862|NCT06925048|NCT07098117|NCT07251595|NCT07266168|NCT07270003|NCT07276620|NCT07313202|NCT07324473|NCT07381114|NCT07451665|NCT07452445|NCT07505186|NCT07550452|NCT07570745,,"'SHR0302Base' appears to refer to the free-base form of ivarmacitinib (vs. the sulfate salt used in the approved formulation), being tested here in a new indication (vitiligo). || Approved China 2024 for atopic dermatitis; also studied in rheumatoid arthritis and other immune-mediated indications. || SHR0302/ivarmacitinib is Hengrui's JAK1 inhibitor, approved in China (~2022) for atopic dermatitis. asset_key rendered as 'SHRS0302' is likely a data artifact of 'SHR0302' (title uses SHR0302)."
SHR20004,noiiglutide (recalled at medium confidence),SHR20004,Noiiglutide (recalled at medium confidence),Jiangsu Hengrui Pharmaceuticals,"Lianyungang, Jiangsu",medium,prior_knowledge,GLP-1 receptor,GLP-1 receptor agonist (weight/diabetes),peptide,,,,obesity | type 2 diabetes mellitus,obesity | type 2 diabetes mellitus,phase 2,phase 2,phase 2,active,,,,,4,0,"{""UNKNOWN"": 2, ""COMPLETED"": 2}",NCT04799327,NCT06137469,NCT04799327|NCT05031871|NCT05333835|NCT06137469,,Part of Hengrui's incretin/obesity franchise (alongside HRS9531 and others); trial title references 'Noiiglutide Injection' which I associate with this code at medium confidence only.
SHR8008,oteseconazole,SHR-8008|SHR8008|VT-1161,oteseconazole,Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,web_verified,fungal CYP51 (lanosterol 14-alpha demethylase),tetrazole CYP51 inhibitor (oral antifungal),small molecule,,,,acute vulvovaginal candidiasis|recurrent vulvovaginal candidiasis,vulvovaginal candidiasis,approved (China + ex-China),approved (China + ex-China),phase 3,active,partnered,"Mycovia Pharmaceuticals (originator, Durham NC; Hengrui holds Greater China rights via 2019 license; Mycovia markets Vivjoa in the US)","Mycovia VIOLET Ph3 (RVVC): recurrence through week 48 of 6.7%/3.9% vs 42.8%/39.4% placebo, basis of FDA approval of Vivjoa (Apr 2022); Hengrui's China Ph3 trials vs fluconazole in acute VVC and RVVC completed and supported a China NDA accepted in 2022.",First FDA-approved drug specifically for recurrent VVC (Vivjoa).,2,0,"{""UNKNOWN"": 2}",NCT04956419,NCT05074602,NCT04956419|NCT05074602,https://clinicaltrials.gov/study/NCT04956419|https://clinicaltrials.gov/study/NCT05074602|https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3311228/,"No web verification possible this session (WebSearch budget exhausted; egress blocked): based on local CT.gov record text (titles/descriptions/co-interventions/status), OpenTargets-ChEMBL synonyms and prior knowledge. In-licensed asset: originator is US-based Mycovia; classified CN because Hengrui is the lead sponsor/developer in Greater China. China NMPA approval (believed ~2024) is from memory and not verified this session; if not approved, highest phase would be 'approved (US/EU)'."
pyrrolitinib,pyrotinib, pyrrolitinib (alt. spelling)|SHR-1258|SHR1258|SHR1258 |pyrotinib|pyrotinib maleate|pyrrolitinib|pyrrolitinib maleate,pyrotinib,Jiangsu Hengrui Pharmaceuticals,"Lianyungang, Jiangsu",high,prior_knowledge,HER2/EGFR/HER4,irreversible pan-HER tyrosine kinase inhibitor,small molecule,Epidermal growth factor receptor erbB1 inhibitor [Epidermal growth factor receptor] | Receptor protein-tyrosine kinase erbB-2 inhibitor [Receptor tyrosine-protein kinase erbB-2],Small molecule,CHEMBL3647420,breast cancer|non-small cell lung cancer|colorectal cancer|solid tumors,breast cancer | non-small cell lung cancer | brain metastases | gastric cancer | colorectal cancer | brain metastasis | solid tumors | non-small-cell lung cancer,approved (China),approved (China),phase 4,active,unknown,,Approved in China 2018 (brand Airuini/Irene) for HER2-positive metastatic breast cancer.,,197,81,"{""COMPLETED"": 15, ""UNKNOWN"": 99, ""TERMINATED"": 1, ""ACTIVE_NOT_RECRUITING"": 9, ""RECRUITING"": 43, ""NOT_YET_RECRUITING"": 29, ""WITHDRAWN"": 1}",NCT01937689,NCT07600164,NCT01937689|NCT02361112|NCT02378389|NCT02422199|NCT02500199|NCT02535507|NCT02834936|NCT02973737|NCT03080805|NCT03412383|NCT03480256|NCT03574402|NCT03588091|NCT03691051|NCT03735966|NCT03756064|NCT03772353|NCT03805399|NCT03843749|NCT03847818|NCT03863223|NCT03876587|NCT03910712|NCT03919253|NCT03923166|NCT03923179|NCT03933982|NCT03947242|NCT03980054|NCT03993964|NCT03997539|NCT04001621|NCT04033172|NCT04034589|NCT04063462|NCT04066790|NCT04088110|NCT04095390|NCT04126525|NCT04144569|NCT04152057|NCT04158856|NCT04179656|NCT04227041|NCT04236310|NCT04246502|NCT04254263|NCT04255056|NCT04290793|NCT04293276|NCT04315116|NCT04315493|NCT04334330|NCT04355858|NCT04367090|NCT04380012|NCT04382300|NCT04395989|NCT04398914|NCT04407988|NCT04447118|NCT04472143|NCT04479891|NCT04481932|NCT04486911|NCT04571710|NCT04605575|NCT04609540|NCT04639271|NCT04646759|NCT04659499|NCT04680091|NCT04681911|NCT04683445|NCT04706949|NCT04717531|NCT04756921|NCT04769050|NCT04785729|NCT04850651|NCT04858516|NCT04872985|NCT04899128|NCT04900311|NCT04903652|NCT04917900|NCT04929548|NCT04960943|NCT04963595|NCT04973319|NCT04983121|NCT04997798|NCT05016544|NCT05020964|NCT05030519|NCT05042791|NCT05070598|NCT05076695|NCT05087706|NCT05111444|NCT05165225|NCT05228951|NCT05252546|NCT05255523|NCT05274191|NCT05292742|NCT05318339|NCT05328440|NCT05346861|NCT05350917|NCT05353361|NCT05411276|NCT05424835|NCT05426486|NCT05429294|NCT05429684|NCT05430347|NCT05482568|NCT05560308|NCT05561686|NCT05572645|NCT05575804|NCT05577442|NCT05577923|NCT05582499|NCT05621434|NCT05635487|NCT05638594|NCT05659056|NCT05745740|NCT05751018|NCT05764941|NCT05769010|NCT05800756|NCT05806671|NCT05823623|NCT05834764|NCT05841381|NCT05856383|NCT05861271|NCT05880927|NCT05885776|NCT05898373|NCT05910398|NCT05918328|NCT06000917|NCT06001086|NCT06015048|NCT06015100|NCT06015113|NCT06035016|NCT06035679|NCT06144944|NCT06145308|NCT06152822|NCT06185400|NCT06208410|NCT06217185|NCT06234137|NCT06245824|NCT06254690|NCT06278870|NCT06362096|NCT06470347|NCT06475443|NCT06483386|NCT06495541|NCT06537674|NCT06563999|NCT06684600|NCT06692491|NCT06718335|NCT06718933|NCT06754059|NCT06770296|NCT06832904|NCT06958627|NCT06973525|NCT06975475|NCT06990347|NCT07014410|NCT07019337|NCT07053150|NCT07065435|NCT07132242|NCT07179939|NCT07180082|NCT07189884|NCT07239271|NCT07290166|NCT07335081|NCT07340398|NCT07393425|NCT07417241|NCT07470203|NCT07528716|NCT07600164,,'Pyrrolitinib' is an alternate/likely-misspelled rendering of pyrotinib. || Pyrotinib is approved in China for HER2+ breast cancer; this trial tests it in HER2-altered biliary tract cancer (withdrawn).
SHR-1209,recaticimab,SHR-1209|SHR1209|recaticimab,recaticimab,Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,web_verified,PCSK9,long-acting anti-PCSK9 mAb (q8w-q12w dosing),monoclonal antibody,,Antibody,CHEMBL5095381,primary hypercholesterolemia|mixed dyslipidemia|heterozygous familial hypercholesterolemia|ischemic stroke (secondary prevention),ischemic stroke | hypercholesterolemia | non-small cell lung cancer | intracranial atherosclerotic stenosis | hyperlipidemia | familial hypercholesterolemia | hyperlipemia | non-familial hypercholesterolemia,approved (China),approved (China),phase 4,active,retained,,REMAIN-2 phase 3 (on statins): LDL-C reduction ~57-62% at week 24 with q8w/q12w regimens (JACC 2024); REMAIN-1 monotherapy phase 3 (NCT04849000) positive; NMPA approval for hypercholesterolemia/mixed dyslipidemia reported 2025 (OpenTargets lists approval).,,18,11,"{""COMPLETED"": 6, ""UNKNOWN"": 1, ""RECRUITING"": 3, ""ACTIVE_NOT_RECRUITING"": 1, ""NOT_YET_RECRUITING"": 7}",NCT03634436,NCT07605130,NCT03634436|NCT03944109|NCT04455581|NCT04844125|NCT04849000|NCT04885218|NCT05370950|NCT06467617|NCT06837077|NCT06902740|NCT07002476|NCT07062328|NCT07119918|NCT07290699|NCT07373847|NCT07466251|NCT07567326|NCT07605130,https://clinicaltrials.gov/study/NCT04849000|https://platform.opentargets.org/drug/CHEMBL5095381|https://www.hengrui.com/,"Exact NMPA approval date not verified offline; NDA was accepted in 2023. [Compiled offline from local OpenTargets/ClinicalTrials.gov extract + prior knowledge; web search budget exhausted in this session, so dates/figures not re-verified online.]"
SHR-1222,resugosbart,SHR-1222,resugosbart,Jiangsu Hengrui Pharmaceuticals,Lianyungang,high,prior_knowledge,sclerostin (SOST),"Anti-sclerostin monoclonal antibody (bone-forming agent, romosozumab-like)",monoclonal antibody,,Antibody,CHEMBL5095382,low bone mass | osteoporosis,low bone mass | osteoporosis,phase 1,phase 1,phase 1,active,unknown,,,,3,0,"{""COMPLETED"": 3}",NCT03870100,NCT04435158,NCT03870100|NCT03898024|NCT04435158,,"Target inferred from indication pattern (osteoporosis/low bone mass, vascular inflammatory markers) consistent with an anti-sclerostin antibody; not fully confirmed from specific recall of SHR-1222 by name."
retagliptin,retagliptin,retagliptin,retagliptin,Jiangsu Hengrui Pharmaceuticals,"Lianyungang, Jiangsu",medium,prior_knowledge,DPP-4,DPP-4 inhibitor,small molecule,,Small molecule,CHEMBL4297435,type 2 diabetes mellitus,type 2 diabetes | type 2 diabetes mellitus,approved (China),approved (China),phase 4,active,unknown,,,,3,2,"{""UNKNOWN"": 1, ""NOT_YET_RECRUITING"": 2}",NCT04667143,NCT07441187,NCT04667143|NCT06417489|NCT07441187,,"Recalled as a Jiangsu Hengrui-originated DPP-4 inhibitor; the trial pairs it with henagliflozin, Hengrui's own SGLT2 inhibitor, supporting common sponsorship. Seed marked 'unknown (verify)'; only medium confidence."
